time_close,time_period_start,time_period_end,time_open,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-06-18 23:59:59.882783+00:00,2022-06-18T00:00:00.0000000Z,2022-06-19T00:00:00.0000000Z,2022-06-18T00:00:00.2261110Z,20447.86,20758.0,17567.45,18948.89,79905.35635754,1192000
2022-06-19 23:59:59.935794+00:00,2022-06-19T00:00:00.0000000Z,2022-06-20T00:00:00.0000000Z,2022-06-19T00:00:00.1648210Z,18944.66,20799.9,17911.0,20552.44,47466.16887009,781614
2022-06-20 23:59:59.505871+00:00,2022-06-20T00:00:00.0000000Z,2022-06-21T00:00:00.0000000Z,2022-06-20T00:00:00.1860800Z,20552.39,21041.62,19603.8,20549.75,38745.22520916,689082
2022-06-21 23:59:59.368056+00:00,2022-06-21T00:00:00.0000000Z,2022-06-22T00:00:00.0000000Z,2022-06-21T00:00:00.7035400Z,20547.68,21711.0,20323.6,20696.96,35050.8100495,830618
2022-06-22 23:59:59.974548+00:00,2022-06-22T00:00:00.0000000Z,2022-06-23T00:00:00.0000000Z,2022-06-22T00:00:00.1827950Z,20699.63,20873.52,19743.99,19968.46,38755.24539182,944227
2022-06-23 23:59:59.870146+00:00,2022-06-23T00:00:00.0000000Z,2022-06-24T00:00:00.0000000Z,2022-06-23T00:00:00.6247770Z,19970.07,21211.97,19869.41,21104.45,30558.28425721,803100
2022-06-24 23:59:59.991212+00:00,2022-06-24T00:00:00.0000000Z,2022-06-25T00:00:00.0000000Z,2022-06-24T00:00:00.5310000Z,21102.75,21538.4,20712.54,21223.72,30866.05985343,766684
2022-06-25 23:59:59.814367+00:00,2022-06-25T00:00:00.0000000Z,2022-06-26T00:00:00.0000000Z,2022-06-25T00:00:01.0397140Z,21221.13,21594.5,20888.8,21478.04,16786.61877849,557957
2022-06-26 23:59:59.781000+00:00,2022-06-26T00:00:00.0000000Z,2022-06-27T00:00:00.0000000Z,2022-06-26T00:00:00.0562580Z,21474.14,21870.14,20944.68,21023.3,15339.43297235,497601
2022-06-27 23:59:59.721000+00:00,2022-06-27T00:00:00.0000000Z,2022-06-28T00:00:00.0000000Z,2022-06-27T00:00:00.1080000Z,21023.4,21528.7,20491.28,20716.3,25109.09142876,599258
2022-06-28 23:59:59.805957+00:00,2022-06-28T00:00:00.0000000Z,2022-06-29T00:00:00.0000000Z,2022-06-28T00:00:00.2099600Z,20722.95,21189.99,20164.7,20252.89,31804.645194,667704
2022-06-29 23:59:59.984696+00:00,2022-06-29T00:00:00.0000000Z,2022-06-30T00:00:00.0000000Z,2022-06-29T00:00:00.5820600Z,20253.5,20415.0,19823.43,20094.79,33342.40837864,676043
2022-06-30 23:59:59.982596+00:00,2022-06-30T00:00:00.0000000Z,2022-07-01T00:00:00.0000000Z,2022-06-30T00:00:00.1551880Z,20098.0,20148.5,18577.0,19985.62,52959.14014465,825272
2022-07-01 23:59:59.881057+00:00,2022-07-01T00:00:00.0000000Z,2022-07-02T00:00:00.0000000Z,2022-07-01T00:00:00.2717890Z,19985.62,20897.5,18938.33,19252.76,62534.84482549,828888
2022-07-02 23:59:59.451105+00:00,2022-07-02T00:00:00.0000000Z,2022-07-03T00:00:00.0000000Z,2022-07-02T00:00:00.5164700Z,19252.76,19430.4,18953.0,19224.03,16220.48075673,445646
2022-07-03 23:59:59.867258+00:00,2022-07-03T00:00:00.0000000Z,2022-07-04T00:00:00.0000000Z,2022-07-03T00:00:00.0910850Z,19225.54,19684.3,18738.6,19291.33,18358.10000376,397365
2022-07-04 23:59:59.997342+00:00,2022-07-04T00:00:00.0000000Z,2022-07-05T00:00:00.0000000Z,2022-07-04T00:00:00.3751530Z,19291.35,20331.76,19028.0,20211.35,27921.73676757,532526
2022-07-05 23:59:59.219000+00:00,2022-07-05T00:00:00.0000000Z,2022-07-06T00:00:00.0000000Z,2022-07-05T00:00:00.0886560Z,20212.42,20734.89,19274.95,20158.0,41057.42846611,675395
2022-07-06 23:59:59.993765+00:00,2022-07-06T00:00:00.0000000Z,2022-07-07T00:00:00.0000000Z,2022-07-06T00:00:00.0240000Z,20169.0,20650.0,19743.0,20542.67,29140.78696396,596024
2022-07-07 23:59:59.892000+00:00,2022-07-07T00:00:00.0000000Z,2022-07-08T00:00:00.0000000Z,2022-07-07T00:00:00.2687390Z,20542.66,21855.72,20224.8,21612.5,39310.97011129,694919
2022-07-08 23:59:59.632313+00:00,2022-07-08T00:00:00.0000000Z,2022-07-09T00:00:00.0000000Z,2022-07-08T00:00:00.1625760Z,21618.04,22498.0,21164.07,21582.2,40091.54737562,732130
2022-07-09 23:59:58.194779+00:00,2022-07-09T00:00:00.0000000Z,2022-07-10T00:00:00.0000000Z,2022-07-09T00:00:00.1967920Z,21582.28,21964.0,21301.5,21583.99,13748.36697374,441248
2022-07-10 23:59:59.792000+00:00,2022-07-10T00:00:00.0000000Z,2022-07-11T00:00:00.0000000Z,2022-07-10T00:00:00.1700840Z,21582.23,21595.75,20610.31,20835.45,16137.94802462,435736
2022-07-11 23:59:59.930498+00:00,2022-07-11T00:00:00.0000000Z,2022-07-12T00:00:00.0000000Z,2022-07-11T00:00:00.2271720Z,20850.65,20858.75,19860.12,19942.43,24798.18689101,467599
2022-07-12 23:59:59.873069+00:00,2022-07-12T00:00:00.0000000Z,2022-07-13T00:00:00.0000000Z,2022-07-12T00:00:00.1499860Z,19942.44,20049.04,19214.1,19303.65,31942.21575991,490960
2022-07-13 23:59:59.871097+00:00,2022-07-13T00:00:00.0000000Z,2022-07-14T00:00:00.0000000Z,2022-07-13T00:00:00.1027840Z,19304.71,20367.88,18892.0,20220.23,43664.88807033,593587
